접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명,위도,경도
2023,11320,도봉구,10700,창동,1,대지,715,50,주웅주택,20230623,24000,81.8,57.7,2,,,1989,연립다세대,직거래,,127.0397565,37.65622006
2023,11320,도봉구,10500,쌍문동,1,대지,487,10,광진하이츠빌라,20230621,15700,37.49,21.92,1,,,1994,연립다세대,중개거래,서울 도봉구,127.0163256,37.65602577
2023,11320,도봉구,10500,쌍문동,1,대지,708,15,우암하이츠빌라,20230620,20000,59.69,25.02,2,,,1996,연립다세대,직거래,,127.0400694,37.66157219
2023,11320,도봉구,10700,창동,1,대지,659,29,삼성쉐르빌퍼스티,20230620,17000,33.59,46.11,8,,,2004,오피스텔,직거래,,127.0356653,37.64895707
2023,11320,도봉구,10800,도봉동,1,대지,562,10,동성빌라,20230617,6400,33.8,22.8,-1,,,1991,연립다세대,중개거래,서울 도봉구,127.045633,37.68373822
2023,11320,도봉구,10600,방학동,1,대지,692,14,(692-14),20230617,7000,34.96,15.79,-1,,,1996,연립다세대,중개거래,서울 도봉구,127.0348813,37.66298741
2023,11320,도봉구,10800,도봉동,1,대지,30,1,한신,20230617,54000,84.94,0,17,,,1995,아파트,중개거래,"경기 의정부시, 서울 도봉구",127.0478108,37.68627805
2023,11320,도봉구,10500,쌍문동,1,대지,532,3,아임빌,20230616,23600,39.62,31.64,2,,,2019,연립다세대,직거래,,127.0161795,37.65906525
2023,11320,도봉구,10800,도봉동,1,대지,556,80,성우빌라트,20230616,21000,63.52,28.35,2,,,2001,연립다세대,중개거래,서울 도봉구,127.0429884,37.68670789
2023,11320,도봉구,10800,도봉동,1,대지,618,22,골든빌,20230615,18000,32.06,23.13,2,,,2015,연립다세대,중개거래,서울 노원구,127.0428379,37.67284246
2023,11320,도봉구,10800,도봉동,1,대지,579,15,화진그린빌라,20230614,17000,55.59,44.17,3,,,1988,연립다세대,중개거래,서울 도봉구,127.0429743,37.68269307
2023,11320,도봉구,10800,도봉동,1,대지,557,10,(557-10),20230614,11500,40.26,29.4,1,,,1991,연립다세대,중개거래,서울 도봉구,127.0447571,37.68713962
2023,11320,도봉구,10800,도봉동,1,대지,579,15,화진그린빌라,20230613,18000,55.59,44.17,3,,,1988,연립다세대,중개거래,서울 도봉구,127.0429743,37.68269307
2023,11320,도봉구,10800,도봉동,1,대지,30,1,한신,20230613,45000,84.94,0,6,,20230613,1995,아파트,직거래,,127.0478108,37.68627805
2023,11320,도봉구,10600,방학동,1,대지,444,31,대원그린아파트,20230613,28000,46.86,0,9,,,1987,아파트,중개거래,서울 도봉구,127.028332,37.66249874
2023,11320,도봉구,10500,쌍문동,1,대지,494,8,금성빌라(494-8),20230612,17500,39.69,17.52,2,,,1993,연립다세대,중개거래,서울 도봉구,127.0149452,37.65784218
