접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,층,계약일,전월세 구분,임대면적(㎡),보증금(만원),임대료(만원),건물명,건축년도,건물용도,계약기간,신규갱신여부,계약갱신권사용여부,종전 보증금,종전 임대료,위도,경도
2023,11380,은평구,10300,불광동,1,대지,480,179,2,20230623,전세,37.58,8400,0,우진빌라(480-179),1991,연립다세대,23.08~25.07,갱신,○,8000,,126.9210086,37.62613622
2023,11380,은평구,11000,증산동,1,대지,209,12,4,20230623,월세,27.25,2000,75,증산휴먼타운,2018,연립다세대,23.07~24.07,신규,,0,0,126.9059941,37.58361206
2023,11380,은평구,10300,불광동,1,대지,331,55,5,20230623,전세,25.98,18500,0,리얼파크2차,2021,연립다세대,23.08~25.08,신규,,0,,126.9262748,37.61867402
2023,11380,은평구,10500,구산동,1,대지,178,22,3,20230623,월세,27.6,3740,3,리츠하우스(178-22),2020,연립다세대,,,,,,126.9090715,37.60845697
2023,11380,은평구,10300,불광동,1,대지,484,73,14,20230622,월세,27.02,10000,60,효민아크로뷰,2021,아파트,23.08~25.08,신규,,0,0,126.9198702,37.62261661
2023,11380,은평구,10300,불광동,1,대지,105,58,1,20230622,월세,80.32,2000,74,불광맨션,1999,연립다세대,,갱신,,2000,70,126.9287121,37.62435099
2023,11380,은평구,10300,불광동,1,대지,168,5,2,20230622,전세,29.95,15000,0,선우에코빌(168-5),2016,연립다세대,,갱신,,15000,,126.9297098,37.62376679
2023,11380,은평구,10400,갈현동,1,대지,470,11,6,20230622,전세,29.74,20900,0,리젠트,2017,연립다세대,23.08~25.08,신규,,0,,126.9156967,37.61371011
2023,11380,은평구,10900,신사동,1,대지,200,62,3,20230622,월세,44.6,3000,60,이수레미안(200-62),2005,연립다세대,23.07~25.07,신규,,0,0,126.9072868,37.59473903
2023,11380,은평구,10800,역촌동,1,대지,10,16,3,20230622,월세,12.09,1000,33,원빌라(A동),2015,연립다세대,23.08~25.08,신규,,0,0,126.9178964,37.60684516
2023,11380,은평구,10300,불광동,1,대지,228,10,2,20230621,전세,49.01,10000,0,(228-10),1997,연립다세대,23.07~25.07,신규,,0,,126.9312426,37.61930179
2023,11380,은평구,10400,갈현동,1,대지,326,30,4,20230621,전세,46.84,22000,0,월드샤인빌,2015,연립다세대,23.07~25.07,갱신,,18000,,126.9076584,37.61690427
2023,11380,은평구,10300,불광동,1,대지,606,12,3,20230621,전세,42.48,27300,0,더스타힐A,2022,연립다세대,23.08~25.08,신규,,0,,126.9319159,37.61067065
2023,11380,은평구,10300,불광동,1,대지,447,20,2,20230621,월세,39.61,11000,39,금강프라임빌,2012,연립다세대,23.07~25.07,갱신,○,11000,35,126.9271486,37.62595056
2023,11380,은평구,10500,구산동,1,대지,346,1,3,20230621,전세,59.86,25000,0,웨스턴빌리지(346-1),2014,연립다세대,23.07~25.07,신규,,0,,126.907584,37.61457307
2023,11380,은평구,10600,대조동,1,대지,9,24,4,20230621,월세,32.98,1000,55,약수빌라,1993,연립다세대,23.07~25.07,신규,,0,0,126.9274124,37.61009494
2023,11380,은평구,10400,갈현동,1,대지,12,338,1,20230621,전세,38.92,11500,0,양지아트비동,1994,연립다세대,23.07~25.07,갱신,○,11000,,126.9151519,37.62757269
2023,11380,은평구,10400,갈현동,1,대지,392,13,5,20230621,전세,29.1,18700,0,더클래스,2017,연립다세대,23.08~25.08,신규,,0,,126.9196601,37.62425173
2023,11380,은평구,10800,역촌동,1,대지,23,55,5,20230621,월세,53.6,23800,10,다보더블래스,2012,연립다세대,23.07~25.07,신규,,0,0,126.9181758,37.60482024
2023,11380,은평구,10700,응암동,1,대지,599,1,12,20230621,전세,17.94,19000,0,동건타워,2022,오피스텔,23.08~25.08,신규,,0,,126.9159187,37.58925525
2023,11380,은평구,10100,수색동,1,대지,415,1,14,20230621,전세,59.9,30000,0,e편한세상 수색 에코포레,2003,아파트,23.08~25.08,신규,,0,,126.8997195,37.5867817
2023,11380,은평구,10300,불광동,1,대지,486,17,9,20230621,전세,26.35,21600,0,베로니스,2019,아파트,,,,,,126.9213015,37.61987485
2023,11380,은평구,10300,불광동,1,대지,486,17,9,20230621,전세,26.35,21600,0,베로니스,2019,아파트,23.07~25.07,신규,,0,,126.9213015,37.61987485
2023,11380,은평구,10400,갈현동,1,대지,410,3,5,20230621,월세,29.97,10000,50,위드하우스(410-3),2016,연립다세대,23.07~25.07,신규,,0,0,126.9184781,37.62321109
2023,11380,은평구,10800,역촌동,1,대지,12,22,2,20230621,전세,27.5,16200,0,해피리움,2012,연립다세대,23.07~25.07,신규,,0,,126.9173474,37.60849843
2023,11380,은평구,10800,역촌동,1,대지,40,43,5,20230621,전세,60.58,18370,0,보성리엔빌(40-43),2008,연립다세대,,,,,,126.9203662,37.60271711
2023,11380,은평구,10200,녹번동,1,대지,94,2,4,20230621,월세,55.17,2000,30,현대빌라(94-2),1994,연립다세대,,,,,,126.9302087,37.60547588
2023,11380,은평구,10700,응암동,1,대지,110,34,4,20230621,월세,39.73,10000,30,송림파크빌,2001,연립다세대,23.07~25.07,신규,,0,0,126.9206717,37.59984261
2023,11380,은평구,10100,수색동,1,대지,311,2,5,20230621,전세,25.51,18500,0,리얼파크수색A동,2021,연립다세대,23.07~25.07,갱신,○,18500,,126.8886349,37.58739624
2023,11380,은평구,10200,녹번동,1,대지,86,12,3,20230621,월세,47.61,13000,5,현대훼밀리타워(86-12),1997,연립다세대,23.09~25.09,신규,,0,0,126.929131,37.60373438
2023,11380,은평구,10400,갈현동,1,대지,474,2,2,20230620,전세,38.34,11000,0,(474-2),1986,연립다세대,23.07~25.07,,,,,126.9158388,37.61469796
2023,11380,은평구,10800,역촌동,1,대지,68,31,3,20230620,전세,43.67,13650,0,삼풍빌라,1994,연립다세대,23.06~25.06,갱신,○,13000,,126.9128804,37.60324505
2023,11380,은평구,10300,불광동,1,대지,486,17,12,20230620,전세,24.9,20000,0,베로니스,2019,아파트,23.08~25.07,신규,,0,,126.9213015,37.61987485
2023,11380,은평구,11000,증산동,1,대지,170,3,2,20230620,전세,66.72,25000,0,현대빌라(170-3),2002,연립다세대,23.08~25.08,신규,,0,,126.9090315,37.58460741
2023,11380,은평구,10400,갈현동,1,대지,12,195,2,20230620,전세,51.6,3497,0,힐하우스,2012,연립다세대,,,,,,126.9151519,37.62757269
2023,11380,은평구,10700,응암동,1,대지,756,4,3,20230620,전세,36,24300,0,모던하임,2021,연립다세대,23.07~25.07,신규,,0,,126.9168941,37.58612858
